,temp_0.0,temp_0.1,temp_0.2,temp_0.30000000000000004,temp_0.4,temp_0.5,temp_0.6000000000000001,temp_0.7000000000000001,temp_0.8,temp_0.9,temp_1.0,temp_1.1,temp_1.2000000000000002,temp_1.3,temp_1.4000000000000001,temp_1.5,temp_1.6,temp_1.7000000000000002,temp_1.8,temp_1.9000000000000001,temp_2.0
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
2,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
3,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1
4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
6,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7,1,1,1,0,0,1,1,1,0,1,0,1,1,0,0,1,1,1,1,1,1
8,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1
9,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
10,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1
11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
12,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
13,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
14,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
18,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0
19,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0
21,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1
22,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
24,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
25,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
26,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1
27,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,0,0,1
28,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
29,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
30,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
33,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
34,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
35,0,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0
36,1,1,1,0,1,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0
37,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
38,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
39,1,1,1,1,1,1,0,1,1,0,1,0,1,0,1,1,1,1,1,1,1
40,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
41,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,0,0,1
42,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1
43,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
44,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
45,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
46,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
47,0,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,0,1,1,1
48,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1
49,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
50,1,1,1,1,1,1,0,0,1,1,1,1,0,1,0,1,0,1,1,1,1
51,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
52,1,1,0,0,0,0,1,1,1,0,0,0,1,0,1,0,1,1,1,1,1
53,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
54,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
55,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
56,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1
57,1,1,1,0,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1
58,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
59,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
60,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
61,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
62,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
63,1,0,1,1,1,1,1,1,1,0,1,0,0,1,1,0,1,1,0,1,0
64,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,1,1,0
65,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
66,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
67,1,0,0,1,1,0,1,0,1,0,0,1,1,1,1,1,0,0,1,1,1
68,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
69,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
70,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
71,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1
72,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1
73,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
74,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
76,1,0,0,0,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1,1,1
77,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
78,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1
79,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
80,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
81,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1
82,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1
83,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
84,1,0,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0
85,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
86,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
